https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1647302400000,2022-03-15 0:00:00,BTC/USDT,39651.60,39800.00,39359.10,39455.60,7680.087,303997870.13493,73553
1647216000000,2022-03-14 0:00:00,BTC/USDT,37743.00,39989.00,37522.10,39653.80,360058.358,13971397117.54385,3346589
1647129600000,2022-03-13 0:00:00,BTC/USDT,38792.70,39300.00,37500.00,37743.70,236623.694,9151745126.66911,2373595
1647043200000,2022-03-12 0:00:00,BTC/USDT,38713.10,39578.40,38630.00,38792.60,172494.825,6738409306.12123,1916408
1646956800000,2022-03-11 0:00:00,BTC/USDT,39407.10,40242.00,38200.10,38713.00,467078.892,18251508270.53395,4566236
1646870400000,2022-03-10 0:00:00,BTC/USDT,41939.50,42034.30,38512.00,39407.20,520645.186,20592964929.86937,5039014
1646784000000,2022-03-09 0:00:00,BTC/USDT,38709.90,42647.50,38638.70,41937.50,462059.811,19171096064.11704,4564168
1646697600000,2022-03-08 0:00:00,BTC/USDT,37963.70,39340.50,37853.00,38709.90,421462.367,16295438564.50412,4243987
1646611200000,2022-03-07 0:00:00,BTC/USDT,38401.10,39550.00,37134.00,37963.80,490254.516,18764725860.73588,4747049
1646524800000,2022-03-06 0:00:00,BTC/USDT,39375.00,39690.00,38056.00,38401.10,311705.260,12109833925.17119,3162831
1646438400000,2022-03-05 0:00:00,BTC/USDT,39127.70,39580.00,38547.60,39375.10,198747.893,7774650477.29027,2212218
1646352000000,2022-03-04 0:00:00,BTC/USDT,42449.60,42525.30,38521.00,39127.70,469138.374,19124060705.42543,4908804
1646265600000,2022-03-03 0:00:00,BTC/USDT,43885.80,44080.00,41831.00,42449.50,365565.832,15701873990.90735,3803308
1646179200000,2022-03-02 0:00:00,BTC/USDT,44393.60,45350.00,43321.00,43885.70,407603.721,17988671380.99431,4239890
1646092800000,2022-03-01 0:00:00,BTC/USDT,43155.00,44935.00,42765.40,44394.10,448483.646,19622069856.81384,4610393
1646006400000,2022-02-28 0:00:00,BTC/USDT,37672.10,44341.00,37414.40,43155.00,615391.161,24659800737.31436,5894312
1645920000000,2022-02-27 0:00:00,BTC/USDT,39099.30,39868.60,36934.60,37672.00,423197.247,16317550913.22295,4101060
1645833600000,2022-02-26 0:00:00,BTC/USDT,39205.40,40441.10,38561.70,39099.30,251892.201,9879223598.44196,2697306
1645747200000,2022-02-25 0:00:00,BTC/USDT,38316.20,39750.00,37999.20,39205.40,416316.366,16181393771.15972,4273206
1645660800000,2022-02-24 0:00:00,BTC/USDT,37227.90,40376.10,34303.70,38315.10,919820.907,33179251056.85041,8122647
1645574400000,2022-02-23 0:00:00,BTC/USDT,38212.10,39250.00,36963.20,37227.80,408056.255,15594144071.88880,3541556
1645488000000,2022-02-22 0:00:00,BTC/USDT,36986.40,38450.00,36310.10,38212.00,465313.497,17408326520.91108,4341079
1645401600000,2022-02-21 0:00:00,BTC/USDT,38367.90,39510.00,36762.00,36986.40,646391.815,24685541251.61848,5359508
1645315200000,2022-02-20 0:00:00,BTC/USDT,40052.60,40100.10,37905.00,38368.10,329740.444,12741245042.82211,2965260
1645228800000,2022-02-19 0:00:00,BTC/USDT,39966.80,40438.70,39610.30,40052.60,185624.675,7424908673.12969,1963483
1645142400000,2022-02-18 0:00:00,BTC/USDT,40491.80,40944.10,39422.00,39966.80,377679.782,15188089909.73473,3531150
1645056000000,2022-02-17 0:00:00,BTC/USDT,43860.80,44150.00,40020.10,40491.70,433958.984,18306714686.34452,4093325
1644969600000,2022-02-16 0:00:00,BTC/USDT,44529.70,44536.80,43277.80,43860.70,255790.287,11231548897.34829,2543753
1644883200000,2022-02-15 0:00:00,BTC/USDT,42525.14,44777.00,42406.23,44529.60,276735.421,12150999143.33453,2782170
1644796800000,2022-02-14 0:00:00,BTC/USDT,42041.12,42888.00,41526.00,42525.14,303990.933,12843945742.38583,3037236
1644710400000,2022-02-13 0:00:00,BTC/USDT,42199.88,42755.97,41850.00,42041.13,192068.012,8127109308.94153,2148957
1644624000000,2022-02-12 0:00:00,BTC/USDT,42365.99,42980.00,41540.00,42199.87,256269.325,10831014104.34159,2871604
1644537600000,2022-02-11 0:00:00,BTC/USDT,43471.30,43900.00,41914.23,42366.00,414646.193,17859967569.94220,4498402
1644451200000,2022-02-10 0:00:00,BTC/USDT,44358.09,45847.50,43136.96,43471.29,563922.075,25056911387.52332,5369837
1644364800000,2022-02-09 0:00:00,BTC/USDT,44021.58,44826.00,43089.08,44358.08,300270.062,13182555302.94626,3214990
1644278400000,2022-02-08 0:00:00,BTC/USDT,43829.99,45600.00,42641.00,44021.57,468015.421,20510408716.12763,4649391
1644192000000,2022-02-07 0:00:00,BTC/USDT,42361.34,44541.16,41609.76,43829.99,418053.774,18066735189.21210,4078430
1644105600000,2022-02-06 0:00:00,BTC/USDT,41374.68,42656.80,41100.00,42361.35,215323.950,8973046762.87637,2197115
1644019200000,2022-02-05 0:00:00,BTC/USDT,41550.00,41922.00,40920.00,41374.69,242184.070,10047968021.94990,2728847
1643932800000,2022-02-04 0:00:00,BTC/USDT,37287.33,41741.76,37011.00,41550.00,520105.770,20278655698.32346,4876035
1643846400000,2022-02-03 0:00:00,BTC/USDT,36892.05,37395.00,36204.30,37289.86,318656.228,11697089175.17526,3020061
1643760000000,2022-02-02 0:00:00,BTC/USDT,38680.51,38834.18,36529.81,36892.03,337570.934,12748099870.64242,3238066
1643673600000,2022-02-01 0:00:00,BTC/USDT,38439.04,39260.26,37969.00,38680.51,353354.121,13632595784.29990,3602863
1643587200000,2022-01-31 0:00:00,BTC/USDT,37870.00,38741.73,36620.00,38439.04,318440.392,11976940218.20276,3180130
1643500800000,2022-01-30 0:00:00,BTC/USDT,38150.00,38420.30,37334.83,37870.01,195029.125,7393111440.65068,2182990
1643414400000,2022-01-29 0:00:00,BTC/USDT,37696.22,38750.94,37252.00,38150.01,238657.764,9034176250.23326,2643842
1643328000000,2022-01-28 0:00:00,BTC/USDT,37131.00,38000.00,36149.02,37696.21,367509.143,13594591900.12492,3780617
1643241600000,2022-01-27 0:00:00,BTC/USDT,36787.42,37200.00,35471.53,37131.00,422006.922,15328505621.72229,4341962
1643155200000,2022-01-26 0:00:00,BTC/USDT,36934.26,38886.58,36232.42,36787.43,554457.384,20858872853.19313,5467829
1643068800000,2022-01-25 0:00:00,BTC/USDT,36648.30,37561.03,35693.00,36934.26,409535.517,14967474932.81879,4251175
1642982400000,2022-01-24 0:00:00,BTC/USDT,36230.00,37528.00,32853.83,36648.31,823000.702,28523818659.37716,7379240
1642896000000,2022-01-23 0:00:00,BTC/USDT,35043.73,36496.92,34588.80,36230.01,369372.903,13097400243.75661,3421563
1642809600000,2022-01-22 0:00:00,BTC/USDT,36426.46,36817.74,33950.00,35043.73,676272.904,23906967843.02501,6139534
1642723200000,2022-01-21 0:00:00,BTC/USDT,40662.06,41095.76,35380.92,36425.98,790320.909,30302616543.91132,7112977
1642636800000,2022-01-20 0:00:00,BTC/USDT,41656.90,43495.00,40550.00,40661.69,399818.052,16867468374.30662,3649340
1642550400000,2022-01-19 0:00:00,BTC/USDT,42337.58,42545.00,41115.64,41657.89,333952.095,13989826398.11288,3093452
1642464000000,2022-01-18 0:00:00,BTC/USDT,42176.34,42680.00,41260.00,42337.58,267472.465,11189671439.34784,2605464
1642377600000,2022-01-17 0:00:00,BTC/USDT,43060.66,43159.32,41523.68,42176.34,232748.345,9870740739.62078,2576335
1642291200000,2022-01-16 0:00:00,BTC/USDT,43070.51,43464.71,42531.69,43060.66,177450.475,7638792723.43540,2004334
1642204800000,2022-01-15 0:00:00,BTC/USDT,43042.40,43800.00,42530.64,43070.51,184649.157,7962625061.63067,2162077
1642118400000,2022-01-14 0:00:00,BTC/USDT,42538.72,43450.00,41666.00,43042.40,272517.077,11620761638.67808,2711286
1642032000000,2022-01-13 0:00:00,BTC/USDT,43880.72,44396.68,42301.16,42534.32,289289.180,12536916955.57177,2842230
1641945600000,2022-01-12 0:00:00,BTC/USDT,42700.69,44300.00,42415.00,43880.72,281339.294,12189347664.02133,2653237
1641859200000,2022-01-11 0:00:00,BTC/USDT,41801.55,43118.00,41255.00,42700.68,323760.691,13657150777.60344,3210875
1641772800000,2022-01-10 0:00:00,BTC/USDT,41851.22,42219.84,39610.00,41801.55,453644.116,18676770270.33546,4253158
1641686400000,2022-01-09 0:00:00,BTC/USDT,41688.05,42773.85,41170.00,41851.22,223134.952,9347759287.48888,2349047
1641600000000,2022-01-08 0:00:00,BTC/USDT,41553.87,42335.00,40500.00,41688.05,283737.224,11779922567.40380,2952768
1641513600000,2022-01-07 0:00:00,BTC/USDT,43080.01,43135.00,40456.56,41553.86,473214.849,19783906992.59905,4387523
